OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,LOGRECNO,geoname,Workers_16_and_older,Drove_alone,Carpool,Public_Transportation,Walked,Other_Means,Non_SOV_Commuters,Pct_Non_SOV_Commuters,GlobalID,Shape__Area,Shape__Length
4154,37,119,001701,1,371190017011,Block Group 1,0016186,"Block Group 1, Census Tract 17.01, Mecklenburg County, North Carolina",1003,818,51,69,0,8,399,0.39780658,8df358a7-0962-46b6-8db1-a5c81c74c99e,11972337.3461304,16281.3618492069
4155,37,119,005524,4,371190055244,Block Group 4,0016459,"Block Group 4, Census Tract 55.24, Mecklenburg County, North Carolina",745,650,265,0,34,0,214,0.28724832,6e2cb8da-9682-49bc-a610-539f1396ad22,20580941.9711304,27237.7029885938
4156,37,119,005524,2,371190055242,Block Group 2,0016457,"Block Group 2, Census Tract 55.24, Mecklenburg County, North Carolina",799,292,184,13,279,65,524,0.65581977,e208e2be-25f8-4a58-b958-a74b9962cdaf,11282621.4353638,16086.4679638222
4157,37,119,005717,3,371190057173,Block Group 3,0016515,"Block Group 3, Census Tract 57.17, Mecklenburg County, North Carolina",1564,1582,147,0,0,0,388,0.24808184,81320f32-b842-489a-b91d-7333e8d5f509,43883948.9126587,31178.2984429802
4158,37,119,003106,2,371190031062,Block Group 2,0016316,"Block Group 2, Census Tract 31.06, Mecklenburg County, North Carolina",848,847,27,50,0,20,114,0.13443396,b910aa59-d4af-417c-8ed0-da832126b8fe,9658504.38354492,15815.5621925222
4159,37,119,005605,1,371190056051,Block Group 1,0016465,"Block Group 1, Census Tract 56.05, Mecklenburg County, North Carolina",1536,1196,279,111,55,0,756,0.4921875,bc0968c6-c343-46a3-b1f6-39a8831678b1,18446539.8585205,18204.3644085478
4160,37,119,001911,2,371190019112,Block Group 2,0016201,"Block Group 2, Census Tract 19.11, Mecklenburg County, North Carolina",980,1029,20,44,0,13,103,0.10510204,5a30a3fb-894e-44c9-a9ff-9564faf280be,11179834.5534668,17872.1012497859
4161,37,119,005833,1,371190058331,Block Group 1,0016548,"Block Group 1, Census Tract 58.33, Mecklenburg County, North Carolina",549,482,29,0,0,14,105,0.19125683,fc6c62f5-212c-4009-b3ba-43ab74462887,12332751.6080322,17069.2312281385
4162,37,119,001912,4,371190019124,Block Group 4,0016206,"Block Group 4, Census Tract 19.12, Mecklenburg County, North Carolina",1647,1237,370,42,0,15,899,0.54584092,d3e535ab-921c-4208-aac9-662209e75936,7866503.9342041,12727.9766963079
4163,37,119,005711,2,371190057112,Block Group 2,0016501,"Block Group 2, Census Tract 57.11, Mecklenburg County, North Carolina",830,697,158,0,28,14,240,0.28915663,5cedb842-5e08-4f15-bdc5-3ae1c49cd3df,60923696.1077881,38957.7611676484
4164,37,119,003808,1,371190038081,Block Group 1,0016353,"Block Group 1, Census Tract 38.08, Mecklenburg County, North Carolina",1053,572,432,153,0,20,956,0.90788224,755ee7e0-a0e6-453a-b571-01eb2086c1c0,3185037.00738525,7767.34157838207
4165,37,119,004500,3,371190045003,Block Group 3,0016385,"Block Group 3, Census Tract 45, Mecklenburg County, North Carolina",324,426,3,24,0,0,81,0.25,3b95ac76-963e-4c26-b519-e4c3c1c937fe,6800117.93334961,11087.0573856778
4166,37,119,002904,5,371190029045,Block Group 5,0016273,"Block Group 5, Census Tract 29.04, Mecklenburg County, North Carolina",290,281,14,0,0,0,42,0.14482759,d594ee99-1977-4a4a-bcae-3c4aa27f99e6,14257479.0065918,18680.7038460684
4167,37,119,003106,1,371190031061,Block Group 1,0016315,"Block Group 1, Census Tract 31.06, Mecklenburg County, North Carolina",1361,876,235,107,0,9,787,0.57825129,fcb6f93d-d8d7-4d5d-a17d-a37a40689ef1,14413365.2165527,18900.7615952691
4168,37,119,001701,2,371190017012,Block Group 2,0016187,"Block Group 2, Census Tract 17.01, Mecklenburg County, North Carolina",1392,968,275,72,30,0,944,0.67816092,3c3907be-bc92-4893-9d08-74be40f5d8a8,4314205.55853271,9663.37648762074
4169,37,119,003902,2,371190039022,Block Group 2,0016356,"Block Group 2, Census Tract 39.02, Mecklenburg County, North Carolina",533,575,17,0,8,0,96,0.18011257,1b93e1ae-d224-4d07-9637-a7bfa99842f6,16775753.7362061,24957.1636393498
4170,37,119,004000,2,371190040002,Block Group 2,0016362,"Block Group 2, Census Tract 40, Mecklenburg County, North Carolina",299,193,35,34,0,48,145,0.48494983,09077d12-df45-49eb-90e9-a31f688edb5b,10917135.3747559,16604.7181213803
4171,37,119,005513,3,371190055133,Block Group 3,0016433,"Block Group 3, Census Tract 55.13, Mecklenburg County, North Carolina",542,397,57,13,0,0,127,0.23431734,2e6c5a44-b4f9-4189-9458-d3e6a0eacdde,10750020.4960327,14437.9375729633
4172,37,119,005619,1,371190056191,Block Group 1,0016484,"Block Group 1, Census Tract 56.19, Mecklenburg County, North Carolina",1238,1188,125,0,0,0,252,0.20355412,652e6c34-217d-481e-81aa-23f14b847372,31148984.3805542,34926.4362251786
